Lat,Long,Geoid2016,DBL60,BDL60_NZVD2016
-47.33333333,168.3666667,0.473,0.2608,-0.2122
-47.33333333,168.4,0.513,0.2616,-0.2514
-47.33333333,168.4333333,0.558,0.2624,-0.2956
-47.33333333,168.4666667,0.604,0.2632,-0.3408
-47.33333333,168.5,0.653,0.264,-0.389
-47.33333333,168.5333333,0.702,0.2648,-0.4372
-47.33333333,168.5666667,0.752,0.2656,-0.4864
-47.33333333,168.6,0.8,0.2664,-0.5336
-47.33333333,168.6333333,0.848,0.2672,-0.5808
-47.33333333,168.6666667,0.896,0.2681,-0.6279
-47.33333333,168.7,0.944,0.2689,-0.6751
-47.33333333,168.7333333,0.993,0.2697,-0.7233
-47.33333333,168.7666667,1.043,0.2705,-0.7725
-47.33333333,168.8,1.092,0.2713,-0.8207
-47.33333333,168.8333333,1.142,0.2721,-0.8699
-47.33333333,168.8666667,1.19,0.2729,-0.9171
-47.33333333,168.9,1.237,0.2737,-0.9633
-47.33333333,168.9333333,1.283,0.2745,-1.0085
-47.33333333,168.9666667,1.328,0.2753,-1.0527
-47.33333333,169,1.37,0.2761,-1.0939
