Lat,Long,Geoid2016,MOT53,MOT53_NZVD2016
-41.53333333,178.3333333,-15.513,0.3093,15.8223
-41.53333333,178.3666667,-15.622,0.3093,15.9313
-41.53333333,178.4,-15.736,0.3093,16.0453
-41.53333333,178.4333333,-15.856,0.3093,16.1653
-41.53333333,178.4666667,-15.978,0.3093,16.2873
-41.53333333,178.5,-16.104,0.3093,16.4133
-41.53333333,178.5333333,-16.228,0.3093,16.5373
-41.53333333,178.5666667,-16.354,0.3093,16.6633
-41.53333333,178.6,-16.478,0.3093,16.7873
-41.53333333,178.6333333,-16.601,0.3093,16.9103
-41.5,173.4,-16.631,0.3093,16.9403
-41.5,173.4333333,-16.395,0.3093,16.7043
-41.5,173.4666667,-16.175,0.3093,16.4843
-41.5,173.5,-15.961,0.3093,16.2703
-41.5,173.5333333,-15.749,0.3093,16.0583
-41.5,173.5666667,-15.495,0.3093,15.8043
-41.5,173.6,-15.277,0.3093,15.5863
-41.5,173.6333333,-15.093,0.3093,15.4023
-41.5,173.6666667,-14.849,0.3093,15.1583
-41.5,173.7,-14.621,0.3093,14.9303
-41.5,173.7333333,-14.392,0.3093,14.7013
-41.5,173.7666667,-14.176,0.3093,14.4853
-41.5,173.8,-13.969,0.3093,14.2783
-41.5,173.8333333,-13.768,0.3093,14.0773
-41.5,173.8666667,-13.578,0.3093,13.8873
-41.5,173.9,-13.393,0.3093,13.7023
-41.5,173.9333333,-13.213,0.2871,13.5001
-41.5,173.9666667,-13.039,0.2871,13.3261
-41.5,174,-12.865,0.2871,13.1521
-41.5,174.0333333,-12.694,0.287,12.981
-41.5,174.0666667,-12.529,0.287,12.816
-41.5,174.1,-12.37,0.2869,12.6569
-41.5,174.1333333,-12.22,0.2868,12.5068
-41.5,174.1666667,-12.08,0.2867,12.3667
-41.5,174.2,-11.952,0.2865,12.2385
-41.5,174.2333333,-11.834,0.2864,12.1204
-41.5,174.2666667,-11.729,0.2862,12.0152
-41.5,174.3,-11.639,0.2861,11.9251
-41.5,174.3333333,-11.563,0.2859,11.8489
-41.5,174.3666667,-11.511,0.2857,11.7967
-41.5,174.4,-11.474,0.2855,11.7595
-41.5,174.4333333,-11.454,0.2853,11.7393
-41.5,174.4666667,-11.447,0.2851,11.7321
-41.5,174.5,-11.457,0.2848,11.7418
-41.5,174.5333333,-11.494,0.2846,11.7786
-41.5,174.5666667,-11.55,0.2843,11.8343
-41.5,174.6,-11.625,0.284,11.909
-41.5,174.6333333,-11.716,0.2838,11.9998
-41.5,174.6666667,-11.819,0.2835,12.1025
-41.5,174.7,-11.927,0.2832,12.2102
-41.5,174.7333333,-12.034,0.2829,12.3169
-41.5,174.7666667,-12.139,0.2826,12.4216
-41.5,174.8,-12.237,0.2823,12.5193
-41.5,174.8333333,-12.333,0.282,12.615
-41.5,174.8666667,-12.428,0.2817,12.7097
-41.5,174.9,-12.529,0.2814,12.8104
-41.5,174.9333333,-12.646,0.2811,12.9271
-41.5,174.9666667,-12.782,0.2808,13.0628
-41.5,175,-12.943,0.2805,13.2235
-41.5,175.0333333,-13.132,0.2802,13.4122
-41.5,175.0666667,-13.333,0.2798,13.6128
